Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
22.11,COMP,0,0.00,16.56,0,50.45,0.00,0.00,0,0,0
23.12,COMP,0,0.00,16.57,0,50.45,0.00,0.00,0,0,0
24.12,COMP,0,0.00,16.58,0,50.43,0.00,0.00,0,0,0
25.13,COMP,0,0.00,16.59,0,50.45,0.00,0.00,0,0,0
26.13,COMP,0,0.00,16.60,0,50.45,0.00,0.00,0,0,0
27.14,COMP,0,0.00,16.60,0,50.45,0.00,0.00,0,0,0
28.15,COMP,0,0.00,16.61,0,50.48,0.00,0.00,0,0,0
29.15,COMP,0,0.00,16.62,0,50.45,0.00,0.00,0,0,0
30.16,COMP,0,0.00,16.63,0,50.45,0.00,0.00,0,0,0
31.17,COMP,0,0.00,16.64,0,50.45,0.00,0.00,0,0,0
