Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.01,COMP,0,0.00,16.88,0,52.65,0.00,0.00,0,0,0
2.01,COMP,142,10.90,16.89,0,47.72,12.73,607.48,74,26,228
3.03,COMP,1073,3.70,16.88,1,51.82,7.72,400.05,100,31,77
4.03,COMP,1257,4.70,16.89,1,48.97,11.80,577.85,100,33,98
5.03,COMP,1507,6.50,16.90,1,49.59,11.80,585.16,100,38,136
6.04,COMP,1825,7.90,16.90,1,49.53,11.74,581.48,100,42,165
7.05,COMP,2203,9.20,16.91,1,49.55,11.96,592.62,100,46,192
8.06,COMP,2634,10.40,16.91,1,49.30,12.12,597.52,100,50,218
9.08,COMP,3240,11.70,16.91,1,49.16,11.99,589.43,100,54,245
10.09,COMP,3774,12.60,16.92,1,49.59,11.90,590.12,100,57,264
11.10,COMP,4348,13.50,16.92,1,49.55,12.04,596.58,100,60,283
12.12,COMP,4959,14.40,16.92,1,49.23,12.23,602.08,100,63,302
13.15,COMP,5604,15.00,16.92,1,49.30,12.18,600.47,100,65,314
14.17,COMP,6281,15.80,16.92,1,50.29,11.85,595.94,100,67,331
15.19,COMP,6988,16.40,16.93,1,49.59,11.88,589.13,100,70,344
16.21,COMP,7725,17.00,16.93,1,49.90,12.01,599.30,100,72,356
17.23,COMP,8488,17.70,16.93,1,49.87,11.50,573.50,100,74,371
18.25,COMP,9271,17.90,16.93,1,50.61,7.86,397.79,100,71,375
19.28,COMP,10057,18.00,16.93,1,51.87,2.37,122.93,100,62,377
20.29,COMP,10841,17.90,16.93,1,51.40,5.18,266.25,100,66,375
21.31,COMP,11626,18.00,16.93,1,51.68,3.34,172.61,100,65,377
22.34,COMP,12412,17.90,16.93,1,51.47,4.64,238.82,100,66,375
23.35,COMP,13197,17.90,16.93,1,51.70,3.60,186.12,100,64,375
24.38,COMP,13982,18.00,16.93,1,51.45,5.06,260.34,100,66,377
25.39,COMP,14767,17.80,16.93,1,51.73,3.39,175.36,100,64,373
26.42,COMP,15552,17.80,16.93,1,51.82,3.41,176.71,100,63,373
27.44,COMP,16337,17.90,16.93,1,51.36,5.18,266.04,100,67,375
28.46,COMP,17318,17.90,16.93,1,51.75,3.78,195.62,100,64,375
29.47,COMP,18103,17.90,16.93,1,51.80,2.43,125.87,100,63,375
30.50,COMP,18888,18.00,16.93,1,51.66,3.78,195.27,100,65,377
31.53,COMP,19674,17.90,16.93,1,51.45,4.95,254.68,100,65,375
32.56,COMP,20459,17.90,16.93,1,51.17,5.62,287.58,100,68,375
33.58,COMP,21244,17.90,16.93,1,51.47,4.73,243.45,100,66,375
34.60,COMP,22029,17.90,16.93,1,50.57,9.62,486.48,100,72,375
35.62,COMP,22815,17.90,16.94,1,51.22,6.04,309.37,100,67,375
36.65,COMP,23600,17.80,16.94,1,51.80,2.43,125.87,100,63,373
37.68,COMP,24385,17.90,16.94,1,51.38,4.31,221.45,100,67,375
38.69,COMP,25170,17.90,16.94,1,51.33,5.34,274.10,100,67,375
39.71,COMP,25955,17.90,16.94,1,51.75,2.85,147.49,100,64,375
40.73,COMP,26740,17.90,16.94,1,51.50,4.56,234.84,100,66,375
41.75,COMP,27525,17.90,16.94,1,51.50,4.75,244.63,100,66,375
42.78,COMP,28310,17.90,16.94,1,51.50,4.03,207.55,100,65,375
43.80,COMP,29095,17.90,16.94,1,52.15,1.15,59.97,100,61,375
44.81,COMP,29880,18.10,16.94,1,51.42,4.76,244.76,100,67,379
45.83,COMP,30861,17.90,16.94,1,51.57,3.77,194.42,100,65,375
46.84,COMP,31646,18.00,16.94,1,51.38,4.96,254.84,100,66,377
47.86,COMP,32431,17.80,16.94,1,51.54,4.32,222.65,100,65,373
48.88,COMP,33215,18.00,16.94,1,51.10,5.72,292.29,100,67,377
49.90,COMP,34000,17.90,16.94,1,51.54,4.37,225.23,100,64,375
50.92,COMP,34785,17.80,16.94,1,51.57,3.46,178.43,100,64,373
51.95,COMP,35571,17.90,16.94,1,52.17,0.61,31.82,100,60,375
52.95,COMP,36356,17.90,16.94,1,51.47,4.34,223.38,100,66,375
53.97,COMP,37141,17.90,16.94,1,51.01,6.70,341.77,100,69,375
54.99,COMP,37926,17.90,16.94,1,51.33,5.47,280.78,100,67,375
56.01,COMP,38711,18.00,16.94,1,51.94,1.90,98.69,100,62,377
57.03,COMP,39496,17.90,16.94,1,51.66,3.78,195.27,100,65,375
58.05,COMP,40281,18.00,16.94,1,51.80,4.33,224.29,100,66,377
59.07,COMP,41065,18.00,16.95,1,51.27,2.81,144.07,100,65,377
60.09,COMP,41850,17.90,16.95,1,51.40,3.44,176.82,100,65,375
61.10,COMP,42636,17.90,16.95,1,51.56,3.63,187.16,100,65,375
62.12,COMP,43421,17.90,16.95,1,51.33,4.79,245.87,100,66,375
63.14,COMP,44206,17.80,16.95,1,51.42,3.50,179.97,100,65,373
64.16,COMP,44991,17.90,16.95,1,51.82,3.05,158.05,100,63,375
65.17,COMP,45777,17.90,16.95,1,51.70,2.40,124.08,100,63,375
66.19,COMP,46561,17.90,16.95,1,51.03,6.46,329.65,100,68,375
67.20,COMP,47346,17.90,16.95,1,51.31,4.89,250.91,100,66,375
68.22,COMP,48131,18.00,16.95,1,51.13,4.78,244.40,100,67,377
69.24,COMP,49112,17.90,16.95,1,51.38,4.43,227.61,100,65,375
70.26,COMP,49900,17.80,16.95,1,52.17,1.55,80.86,100,60,373
71.29,COMP,50690,17.90,16.95,1,51.70,5.56,287.45,100,67,375
72.31,COMP,51480,18.00,16.95,1,51.89,1.87,97.03,100,63,377
73.33,COMP,52269,18.10,16.95,1,51.19,4.73,242.13,100,67,379
74.35,COMP,53059,18.00,16.95,1,51.78,2.76,142.91,100,64,377
75.36,COMP,53849,18.10,16.95,1,51.64,3.37,174.03,100,64,379
76.38,COMP,54639,18.10,16.95,1,51.71,3.23,167.02,100,64,379
77.40,COMP,55429,18.00,16.95,1,51.68,2.98,154.01,100,63,377
78.42,COMP,56218,18.00,16.95,1,51.22,5.80,297.08,100,67,377
79.43,COMP,57008,18.00,16.95,1,51.57,2.98,153.68,100,65,377
80.45,COMP,57798,18.10,16.95,1,51.33,4.23,217.13,100,67,379
81.47,COMP,58587,18.10,16.95,1,51.57,4.02,207.31,100,65,379
82.49,COMP,59376,18.00,16.95,1,51.31,3.96,203.19,100,66,377
83.52,COMP,60166,18.00,16.96,1,51.92,2.72,141.22,100,63,377
84.53,COMP,60956,18.00,16.96,1,52.03,1.09,56.71,100,62,377
85.55,COMP,61745,18.10,16.96,1,51.15,5.26,269.05,100,67,379
86.57,COMP,62535,18.00,16.96,1,51.85,2.10,108.88,100,63,377
87.59,COMP,63325,18.00,16.96,1,51.92,2.08,107.99,100,63,377
88.61,COMP,64115,18.10,16.96,1,51.36,4.78,245.50,100,66,379
