Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.01,TEST,57663,0.00,16.40,0,53.19,0.00,0.00,0,0,0
2.03,TEST,57688,4.39,16.40,1,52.91,1.25,65.93,100,22,92
3.03,TEST,58225,17.01,16.41,1,52.96,1.77,93.74,100,62,356
4.05,TEST,59106,22.88,16.41,1,52.98,1.80,95.31,100,82,479
5.05,TEST,60187,26.54,16.40,1,53.33,1.89,100.96,100,95,556
6.06,TEST,61384,27.64,16.40,1,53.07,1.36,72.28,100,100,579
7.08,TEST,62476,21.97,16.40,0,53.21,0.00,0.00,0,0,460
8.10,TEST,63306,16.42,16.40,0,53.16,0.00,0.00,0,0,344
9.10,TEST,63902,11.36,16.40,0,53.17,0.00,0.00,0,0,238
10.10,TEST,64289,6.83,16.40,0,53.16,0.00,0.00,0,0,143
11.11,TEST,64490,3.05,16.41,0,53.17,0.00,0.00,0,0,63
12.12,TEST,64533,0.72,16.42,0,53.19,0.00,0.00,0,0,15
13.13,TEST,64533,0.00,16.43,0,53.16,0.00,0.00,0,0,0
14.13,TEST,64533,0.00,16.43,0,53.21,0.00,0.00,0,0,0
