Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.02,RACE,489043,0.00,16.40,0,50.52,0.00,0.00,0,0,0
2.02,RACE,489597,19.98,16.40,1,50.50,0.37,18.48,100,52,419
3.03,RACE,490361,16.50,16.40,1,49.97,3.08,153.82,100,66,346
4.05,RACE,491082,17.01,16.40,1,50.57,0.64,32.16,100,61,356
5.05,RACE,491804,16.67,16.40,1,50.06,2.72,136.42,100,65,349
6.05,RACE,492525,16.67,16.40,1,50.13,2.94,147.44,100,65,349
7.06,RACE,493247,16.93,16.40,1,50.45,1.08,54.33,100,62,355
8.07,RACE,493969,16.93,16.41,1,50.52,0.68,34.20,100,61,355
9.08,RACE,494690,16.67,16.41,1,50.57,0.07,3.34,100,60,349
10.08,RACE,495412,17.01,16.41,1,50.57,0.77,38.79,100,61,356
11.09,RACE,496134,16.59,16.41,1,50.45,0.23,11.65,100,60,347
12.10,RACE,496853,16.18,16.41,1,50.31,0.76,38.03,100,61,339
13.10,RACE,497573,16.92,16.41,1,50.25,2.28,114.48,100,64,355
14.11,RACE,498294,16.84,16.41,1,50.17,2.50,125.42,100,65,353
15.11,RACE,499016,16.18,16.41,1,50.24,1.84,92.23,100,63,339
16.12,RACE,499737,16.59,16.41,1,50.25,2.30,115.43,100,64,347
17.13,RACE,500459,16.92,16.41,1,50.36,0.65,32.58,100,61,355
18.13,RACE,501180,16.18,16.42,1,50.10,1.73,86.82,100,63,339
19.14,RACE,501901,16.59,16.42,1,50.06,2.36,117.89,100,64,347
20.14,RACE,502623,17.01,16.42,1,50.62,0.26,13.26,100,61,356
21.15,RACE,503344,16.84,16.42,1,50.55,-0.04,-1.97,100,61,353
22.16,RACE,504065,16.92,16.42,1,50.34,1.38,69.67,100,62,355
23.16,RACE,504786,16.34,16.42,1,50.40,0.36,18.34,100,59,342
24.19,RACE,505507,16.34,16.42,1,50.55,0.22,11.17,100,59,342
25.21,RACE,506227,16.26,16.42,1,50.45,0.21,10.39,100,59,341
26.22,RACE,506948,16.18,16.42,1,50.47,0.41,20.74,100,60,339
27.22,RACE,507669,16.18,16.43,1,50.38,0.79,39.70,100,61,339
28.22,RACE,508390,16.26,16.43,1,50.20,2.06,103.31,100,64,341
29.22,RACE,509112,16.42,16.43,1,50.17,2.05,102.99,100,64,344
30.23,RACE,509834,16.10,16.43,1,50.40,0.55,27.52,100,60,337
31.23,RACE,510555,16.10,16.43,1,50.32,0.65,32.81,100,61,337
32.24,RACE,511352,25.13,16.43,0,50.47,0.00,0.00,0,0,527
33.27,RACE,512313,19.17,16.43,0,50.54,0.00,0.00,0,0,402
34.28,RACE,513030,13.94,16.43,0,50.50,0.00,0.00,0,0,292
35.29,RACE,513619,8.07,16.43,0,50.54,0.00,0.00,0,0,169
36.30,RACE,513874,4.02,16.44,0,50.48,0.00,0.00,0,0,84
37.32,RACE,513964,0.95,16.45,0,50.54,0.00,0.00,0,0,19
38.34,RACE,513965,0.00,16.45,0,50.52,0.00,0.00,0,0,0
39.35,RACE,513965,0.00,16.46,0,50.52,0.00,0.00,0,0,0
