Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.02,DRIVE,1516776,25.40,16.97,1,47.51,9.31,442.32,100,100,532
2.03,DRIVE,1517842,25.40,16.97,1,47.86,9.23,441.75,100,100,532
3.05,DRIVE,1518913,25.50,16.97,1,47.70,8.74,416.90,100,100,534
4.06,DRIVE,1519989,25.50,16.97,1,47.95,8.26,396.07,100,100,534
5.08,DRIVE,1521069,25.70,16.96,1,48.06,8.05,386.88,100,100,539
6.09,DRIVE,1522152,25.90,16.96,1,48.13,7.99,384.56,100,100,543
7.11,DRIVE,1523235,25.90,16.96,1,48.04,8.20,393.93,100,100,543
8.11,DRIVE,1524316,25.50,16.95,1,47.99,8.60,412.71,100,100,534
9.12,DRIVE,1525392,25.40,16.95,1,47.90,8.86,424.39,100,100,532
10.14,DRIVE,1526466,25.70,16.95,1,47.99,8.70,417.51,100,100,539
11.16,DRIVE,1527537,25.40,16.94,1,47.58,9.07,431.55,100,100,532
12.17,DRIVE,1528605,25.50,16.94,1,47.60,9.11,433.64,100,100,534
13.19,DRIVE,1529674,25.20,16.94,0,49.13,0.00,0.00,0,0,528
14.20,DRIVE,1530726,25.20,16.94,0,49.20,0.00,0.00,0,0,528
15.22,DRIVE,1531756,24.30,16.93,0,49.22,0.00,0.00,0,0,509
16.23,DRIVE,1532776,24.30,16.93,0,48.04,7.95,381.92,47,94,509
17.25,DRIVE,1533808,24.60,16.93,0,47.49,11.38,540.44,76,100,516
18.27,DRIVE,1535107,24.60,16.92,0,49.27,0.00,0.00,0,0,516
19.28,DRIVE,1536127,24.10,16.92,0,49.22,0.00,0.00,0,0,505
20.30,DRIVE,1537125,23.50,16.92,0,49.29,0.00,0.00,0,0,492
21.32,DRIVE,1538099,23.00,16.92,0,49.25,0.00,0.00,0,0,482
22.34,DRIVE,1539048,22.30,16.92,0,49.32,0.00,0.00,0,0,467
23.35,DRIVE,1539974,22.00,16.91,0,49.32,0.00,0.00,0,0,461
24.37,DRIVE,1540885,21.70,16.91,0,49.29,0.00,0.00,0,0,455
25.39,DRIVE,1541787,21.60,16.91,0,49.30,0.00,0.00,0,0,453
26.40,DRIVE,1542712,22.70,16.91,1,46.12,18.18,838.46,100,100,476
27.42,DRIVE,1543682,23.60,16.91,1,47.42,14.51,688.06,100,100,495
28.43,DRIVE,1544687,24.30,16.91,1,47.44,12.82,608.18,100,100,509
29.45,DRIVE,1545714,24.50,16.90,1,46.88,12.10,567.25,100,100,513
30.47,DRIVE,1546742,24.50,16.90,1,46.98,12.26,575.97,100,100,513
31.49,DRIVE,1547770,24.60,16.90,1,47.42,12.11,574.26,100,100,516
32.49,DRIVE,1548800,24.60,16.90,1,47.47,11.59,550.18,100,100,516
33.51,DRIVE,1549833,24.60,16.89,1,47.54,11.57,550.04,100,100,516
34.52,DRIVE,1550875,25.00,16.89,1,48.27,10.79,520.83,100,100,524
35.54,DRIVE,1551927,25.40,16.89,1,47.74,9.79,467.37,100,100,532
36.56,DRIVE,1552994,25.50,16.89,1,47.92,8.76,419.78,100,100,534
37.57,DRIVE,1554070,25.70,16.88,1,47.93,8.37,401.17,100,100,539
38.58,DRIVE,1555150,25.70,16.88,1,48.00,8.13,390.24,100,100,539
