Time,State,Ticks,Speed,Target,SmartCRuise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.01,DRIVE,10869,0,16.98,0,50.1,0,0,0,0,0
2.02,DRIVE,10869,0,16.99,0,50.11,0,0,0,0,0
3.03,DRIVE,10869,0,17,0,50.1,0,0,0,0,0
4.04,DRIVE,10869,0,17.01,0,50.11,0,0,0,0,0
5.05,DRIVE,10869,0,17.02,0,50.08,0,0,0,0,0
6.06,DRIVE,11125,2.1,17.02,1,49.25,13.05,642.71,100,25,44
7.07,DRIVE,11406,3.3,17.03,1,43.73,18.75,819.94,100,37,69
8.08,DRIVE,11609,6,17.04,1,44.08,19.56,862.2,100,45,125
9.1,DRIVE,11912,8.3,17.04,1,44.49,19.88,884.46,100,53,174
10.11,DRIVE,12303,10.3,17.05,1,44.52,19.66,875.26,100,59,216
11.13,DRIVE,12773,12,17.05,1,46.16,20.08,926.89,100,65,251
12.14,DRIVE,13311,13.6,17.05,1,44.91,19.71,885.18,100,70,285
13.15,DRIVE,13914,15.1,17.05,1,46.68,20.04,935.47,100,76,316
14.17,DRIVE,14574,16.3,17.06,1,45.06,19.78,891.29,100,80,341
15.19,DRIVE,15288,17.7,17.06,1,44.57,19.92,887.83,100,85,371
16.2,DRIVE,16053,18.7,17.06,1,45.51,19.83,902.46,100,88,392
17.21,DRIVE,16864,19.8,17.06,1,46.38,20.12,933.17,100,92,415
18.22,DRIVE,17719,21,17.06,1,46.03,20.09,924.74,100,96,440
19.23,DRIVE,18616,21.8,17.06,1,45.03,19.13,861.42,100,100,457
20.24,DRIVE,19550,22.7,17.05,1,45.8,16.58,759.36,100,100,476
21.25,DRIVE,20511,23.3,17.05,1,46.49,14.77,686.66,100,100,488
22.27,DRIVE,21493,23.6,17.05,1,46.24,13.58,627.94,100,100,495
23.28,DRIVE,22492,23.8,17.05,1,46.47,12.93,600.86,100,100,499
24.29,DRIVE,23508,24.3,17.05,1,47.21,11.41,538.67,100,100,509
25.3,DRIVE,24536,24.8,17.04,1,47.42,10.45,495.54,100,100,520
26.31,DRIVE,25574,24.8,17.04,1,46.81,10.18,476.53,100,100,520
27.31,DRIVE,26619,24.8,17.04,1,47.53,9.85,468.17,100,100,520
28.32,DRIVE,27667,25,17.04,1,47.53,9.52,452.49,100,100,524
29.33,DRIVE,28720,25.2,17.03,1,47.28,9.31,440.18,100,100,528
30.33,DRIVE,29777,25.2,17.03,1,47.65,8.87,422.66,100,100,528
31.35,DRIVE,31103,25.4,17.02,1,47.58,8.69,413.47,100,100,532
32.37,DRIVE,32167,25.5,17.02,1,47.32,8.73,413.1,100,100,534
33.37,DRIVE,33234,25.5,17.02,1,47.35,8.29,392.53,100,100,534
34.38,DRIVE,34301,25.5,17.02,1,47.72,8.37,399.42,100,100,534
35.39,DRIVE,35370,25.5,17.01,1,47.65,8.51,405.5,100,100,534
36.39,DRIVE,36438,25.4,17.01,1,47.32,8.76,414.52,100,100,532
37.4,DRIVE,37505,25.5,17.01,1,47.76,8.15,389.24,100,100,534
38.4,DRIVE,38575,25.5,17,1,47.81,8.18,391.09,100,100,534
39.41,DRIVE,39649,25.7,17,1,47.51,7.97,378.65,100,100,539
40.41,DRIVE,40723,25.5,17,1,47.72,8.1,386.53,100,100,534
41.44,DRIVE,41799,25.5,16.99,1,47.81,7.89,377.22,100,100,534
42.46,DRIVE,42875,25.7,16.99,1,47.7,7.79,371.58,100,100,539
43.46,DRIVE,43952,25.7,16.99,1,47.84,7.83,374.59,100,100,539
44.47,DRIVE,45029,25.7,16.99,1,47.3,8.03,379.82,100,100,539
45.47,DRIVE,46106,25.7,16.98,1,47.84,7.95,380.33,100,100,539
46.48,DRIVE,47183,25.7,16.98,1,47.77,7.86,375.47,100,100,539
47.49,DRIVE,48259,25.7,16.98,1,47.77,7.97,380.73,100,100,539
48.49,DRIVE,49333,25.5,16.97,1,47.76,8.01,382.56,100,100,534
49.5,DRIVE,50405,25.5,16.97,1,47.76,8.24,393.54,100,100,534
50.5,DRIVE,51476,25.5,16.97,1,47.69,8.43,402.03,100,100,534
51.51,DRIVE,52547,25.5,16.96,1,47.74,8.07,385.26,100,100,534
52.54,DRIVE,53618,25.5,16.96,1,47.72,8.3,396.08,100,100,534
53.55,DRIVE,54688,25.4,16.96,1,47.79,8.28,395.7,100,100,532
54.55,DRIVE,55758,25.5,16.96,1,47.72,8.44,402.76,100,100,534
55.56,DRIVE,56826,25.5,16.95,1,47.7,8.2,391.14,100,100,534
56.56,DRIVE,57892,25.4,16.95,1,47.3,8.35,394.96,100,100,532
57.57,DRIVE,58958,25.4,16.95,1,47.6,8.53,406.03,100,100,532
58.57,DRIVE,60023,25.2,16.94,1,47.6,8.87,422.21,100,100,528
59.58,DRIVE,61083,25.2,16.94,1,47.54,8.98,426.91,100,100,528
60.58,DRIVE,62140,25.2,16.94,1,47.53,9.07,431.1,100,100,528
61.59,DRIVE,63196,25,16.94,1,47.51,9.27,440.42,100,100,524
62.62,DRIVE,64251,25.2,16.93,1,47.49,9.25,439.28,100,100,528
63.62,DRIVE,65306,25.2,16.93,1,47.49,9.28,440.71,100,100,528
64.63,DRIVE,66362,25,16.93,1,47.46,9.11,432.36,100,100,524
65.63,DRIVE,67417,25.2,16.92,1,47.21,9.08,428.67,100,100,528
66.64,DRIVE,68475,25.2,16.92,1,47.53,9.15,434.9,100,100,528
67.65,DRIVE,69533,25.4,16.92,1,47.58,8.91,423.94,100,100,532
68.66,DRIVE,70590,25.4,16.91,1,47.56,8.91,423.76,100,100,532
69.66,DRIVE,71648,25.4,16.91,1,47.51,9,427.59,100,100,532
70.67,DRIVE,72705,25.2,16.91,1,47.35,9.03,427.57,100,100,528
71.68,DRIVE,73761,25.2,16.91,1,48.06,9.15,439.75,100,100,528
72.69,DRIVE,74816,25.2,16.9,1,47.44,9.15,434.08,100,100,528
73.7,DRIVE,75873,25.4,16.9,1,48,8.81,422.88,100,100,532
74.7,DRIVE,76931,25.4,16.9,1,47.51,8.79,417.61,100,100,532
75.71,DRIVE,77990,25.2,16.89,1,47.49,9.04,429.31,100,100,528
76.71,DRIVE,79048,25.2,16.89,1,47.49,8.9,422.66,100,100,528
77.72,DRIVE,80105,25.4,16.89,1,47.62,8.8,419.06,100,100,532
78.72,DRIVE,81162,25.2,16.89,1,47.56,8.95,425.66,100,100,528
79.73,DRIVE,82219,25.2,16.88,1,47.44,8.85,419.84,100,100,528
80.73,DRIVE,83277,25,16.88,1,47.53,8.92,423.97,100,100,524
81.75,DRIVE,84335,25.2,16.88,1,47.49,9.04,429.31,100,100,528
82.76,DRIVE,85393,25.2,16.87,1,47.58,8.69,413.47,100,100,528
83.76,DRIVE,86452,25.4,16.87,1,47.56,8.74,415.67,100,100,532
84.77,DRIVE,87513,25.4,16.87,1,47.3,8.69,411.04,100,100,532
85.78,DRIVE,88575,25.4,16.86,1,47.3,8.39,396.85,100,100,532
86.78,DRIVE,89639,25.5,16.86,1,47.53,8.29,394.02,100,100,534
87.79,DRIVE,90706,25.4,16.86,1,47.62,8.37,398.58,100,100,532
88.79,DRIVE,91773,25.2,16.86,0,49.11,0,0,0,0,528
89.8,DRIVE,92823,24.8,16.85,0,49.25,0,0,0,0,520
90.8,DRIVE,93852,24.5,16.85,0,49.25,0,0,0,0,513
91.81,DRIVE,94862,24,16.85,0,49.3,0,0,0,0,503
92.82,DRIVE,95854,23.6,16.85,0,49.3,0,0,0,0,495
