Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.01,DRIVE,1246555,24.50,16.97,1,45.47,7.91,359.67,100,100,513
2.02,DRIVE,1247578,24.30,16.97,1,45.17,7.91,357.29,100,100,509
3.03,DRIVE,1248601,24.50,16.97,1,45.26,7.85,355.29,100,100,513
4.04,DRIVE,1249624,24.30,16.97,1,45.47,8.01,364.21,100,100,509
5.05,DRIVE,1250646,24.30,16.96,1,45.42,8.16,370.63,100,100,509
6.05,DRIVE,1251669,24.30,16.96,1,45.49,7.89,358.92,100,100,509
7.06,DRIVE,1252692,24.30,16.96,1,45.42,7.94,360.63,100,100,509
8.09,DRIVE,1253715,24.50,16.96,1,45.22,7.91,357.69,100,100,513
9.10,DRIVE,1254739,24.30,16.95,1,45.47,7.80,354.67,100,100,509
10.11,DRIVE,1255764,24.50,16.95,1,45.47,7.88,358.30,100,100,513
11.12,DRIVE,1256790,24.50,16.95,1,45.49,7.80,354.82,100,100,513
12.13,DRIVE,1257813,24.30,16.95,1,45.31,7.94,359.76,100,100,509
13.14,DRIVE,1258836,24.50,16.95,1,45.08,7.96,358.84,100,100,513
14.15,DRIVE,1259857,24.30,16.94,1,45.40,8.01,363.65,100,100,509
15.16,DRIVE,1260877,24.10,16.94,1,44.94,8.38,376.60,100,100,505
16.17,DRIVE,1261894,24.30,16.94,1,45.28,8.20,371.30,100,100,509
17.18,DRIVE,1262913,24.30,16.94,1,45.42,8.35,379.26,100,100,509
18.19,DRIVE,1263932,24.30,16.93,1,45.19,8.05,363.78,100,100,509
19.20,DRIVE,1264952,24.50,16.93,1,45.29,7.89,357.34,100,100,513
20.21,DRIVE,1265973,24.30,16.93,1,45.10,8.12,366.21,100,100,509
21.23,DRIVE,1266993,24.50,16.93,1,45.40,8.01,363.65,100,100,513
22.25,DRIVE,1268015,24.10,16.92,1,45.47,8.02,364.67,100,100,505
23.26,DRIVE,1269039,24.30,16.92,1,45.13,7.94,358.33,100,100,509
24.27,DRIVE,1270060,24.50,16.92,1,45.47,7.82,355.58,100,100,513
25.28,DRIVE,1271080,24.10,16.92,1,45.13,8.22,370.97,100,100,505
26.29,DRIVE,1272101,24.30,16.91,1,45.40,8.12,368.65,100,100,509
27.30,DRIVE,1273121,24.10,16.91,1,45.13,8.20,370.07,100,100,505
28.31,DRIVE,1274141,24.30,16.91,1,45.33,8.20,371.71,100,100,509
29.32,DRIVE,1275160,24.30,16.91,1,45.40,8.08,366.83,100,100,509
30.33,DRIVE,1276179,24.30,16.90,1,45.36,8.32,377.40,100,100,509
31.35,DRIVE,1277198,24.30,16.90,1,45.35,8.22,372.78,100,100,509
32.37,DRIVE,1278215,24.30,16.90,1,45.28,8.20,371.30,100,100,509
33.38,DRIVE,1279232,24.30,16.90,1,45.84,8.51,390.10,100,100,509
34.39,DRIVE,1280248,24.30,16.89,1,45.36,8.33,377.85,100,100,509
35.40,DRIVE,1281521,24.10,16.89,1,45.35,8.01,363.25,100,100,505
36.41,DRIVE,1282542,24.10,16.89,1,45.40,8.06,365.92,100,100,505
37.42,DRIVE,1283563,24.50,16.88,1,45.54,7.67,349.29,100,100,513
38.43,DRIVE,1284585,24.30,16.88,1,45.47,8.20,372.85,100,100,509
39.44,DRIVE,1285606,24.30,16.88,1,45.21,7.89,356.71,100,100,509
40.45,DRIVE,1286631,24.50,16.88,1,45.93,7.53,345.85,100,100,513
41.46,DRIVE,1287658,24.50,16.87,1,45.40,7.50,340.50,100,100,513
42.49,DRIVE,1288689,24.60,16.87,1,45.59,7.06,321.87,100,100,516
43.50,DRIVE,1289722,24.50,16.87,1,45.61,7.21,328.85,100,100,513
44.51,DRIVE,1290758,24.60,16.87,1,45.68,6.64,303.32,100,100,516
45.52,DRIVE,1291797,24.80,16.86,1,45.65,6.60,301.29,100,100,520
46.53,DRIVE,1292840,24.80,16.86,1,45.68,6.27,286.41,100,100,520
47.54,DRIVE,1293887,25.00,16.86,1,45.52,6.00,273.12,100,100,524
48.55,DRIVE,1294938,25.00,16.86,1,45.75,6.10,279.07,100,100,524
49.56,DRIVE,1295993,25.20,16.85,1,45.56,5.43,247.39,100,100,528
50.58,DRIVE,1297052,25.40,16.85,0,46.68,0.00,0.00,0,0,532
51.58,DRIVE,1298101,24.80,16.85,0,46.74,0.00,0.00,0,0,520
52.61,DRIVE,1299133,24.50,16.84,0,46.81,0.00,0.00,0,0,513
53.62,DRIVE,1300144,24.00,16.84,0,46.77,0.00,0.00,0,0,503
54.62,DRIVE,1301129,23.00,16.84,0,46.82,0.00,0.00,0,0,482
55.63,DRIVE,1302082,22.40,16.84,0,46.79,0.00,0.00,0,0,469
56.64,DRIVE,1303008,21.80,16.84,0,44.49,13.24,589.05,63,96,457
57.65,DRIVE,1303926,22.10,16.84,0,44.54,14.52,646.72,80,96,463
58.66,DRIVE,1304856,22.30,16.83,0,44.40,14.03,622.93,85,100,467
59.67,DRIVE,1305796,22.50,16.83,0,44.66,13.33,595.32,85,100,471
60.68,DRIVE,1306745,22.80,16.83,1,44.57,12.77,569.16,100,100,478
61.70,DRIVE,1307702,22.80,16.83,1,44.71,12.16,543.67,100,100,478
62.70,DRIVE,1308669,23.10,16.83,1,44.89,11.38,510.85,100,100,484
