Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.03,RACE,315741,0.00,15.06,0,54.32,0.00,0.00,0,0,0
2.05,RACE,315741,0.00,15.13,0,54.31,0.00,0.00,0,0,0
3.06,RACE,315741,0.00,15.19,0,54.31,0.00,0.00,0,0,0
4.08,RACE,315741,0.00,15.26,0,54.31,0.00,0.00,0,0,0
5.10,RACE,315741,0.00,15.33,0,54.31,0.00,0.00,0,0,0
6.11,RACE,315741,0.00,15.39,0,54.29,0.00,0.00,0,0,0
7.15,RACE,315741,0.00,15.46,0,54.31,0.00,0.00,0,0,0
8.17,RACE,315741,0.00,15.53,0,54.36,0.00,0.00,0,0,0
9.19,RACE,315741,0.00,15.60,0,54.31,0.00,0.00,0,0,0
10.20,RACE,315741,0.00,15.67,0,54.36,0.00,0.00,0,0,0
11.22,RACE,315741,0.00,15.74,0,54.31,0.00,0.00,0,0,0
12.23,RACE,315741,0.00,15.81,0,54.32,0.00,0.00,0,0,0
13.24,RACE,315741,0.00,15.88,0,54.31,0.00,0.00,0,0,0
14.26,RACE,315741,0.00,15.95,0,54.31,0.00,0.00,0,0,0
15.26,RACE,315741,0.00,16.02,0,54.32,0.00,0.00,0,0,0
16.28,RACE,315741,0.00,16.09,0,54.31,0.00,0.00,0,0,0
17.31,RACE,315741,0.00,16.17,0,54.29,0.00,0.00,0,0,0
18.32,RACE,315741,0.00,16.24,0,54.31,0.00,0.00,0,0,0
