Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.02,COMP,0,0.0,16.4,0,50.06,0.0,0.0,0,0,0
2.02,COMP,0,0.0,16.4,0,50.1,0.0,0.0,0,0,0
3.03,COMP,0,0.0,16.41,0,50.15,0.0,0.0,0,0,0
4.04,COMP,0,0.0,16.42,0,50.04,0.0,0.0,0,0,0
5.06,COMP,0,0.0,16.43,0,50.06,0.0,0.0,0,0,0
6.07,COMP,0,0.0,16.44,0,50.08,0.0,0.0,0,0,0
7.1,COMP,167,20.35,16.44,1,49.88,0.63,31.58,100,59,426
8.13,COMP,1019,17.65,16.44,1,49.99,0.16,7.8,100,62,370
9.14,COMP,1779,16.42,16.44,1,50.1,0.21,10.32,100,57,344
10.14,COMP,2542,17.84,16.44,1,49.97,0.58,29.18,100,63,374
11.15,COMP,3297,18.03,16.44,1,49.97,1.33,66.56,100,63,378
12.17,COMP,4066,21.54,16.45,1,50.06,3.12,155.94,100,75,451
13.18,COMP,4832,17.28,16.45,1,50.03,0.17,8.6,100,60,362
14.19,COMP,5593,17.93,16.45,1,50.03,1.79,89.34,100,64,376
15.2,COMP,6362,16.18,16.45,1,49.87,0.51,25.38,100,56,339
16.2,COMP,7132,17.65,16.45,1,50.04,0.43,21.62,100,62,370
17.21,COMP,7885,16.67,16.45,1,50.08,0.63,31.6,100,58,349
18.25,COMP,8648,18.13,16.45,1,49.99,0.28,14.0,100,63,380
19.25,COMP,9401,17.37,16.45,1,49.96,0.8,39.76,100,60,364
20.26,COMP,10169,17.93,16.45,1,49.73,5.99,297.76,100,79,376
21.26,COMP,10940,17.1,16.45,1,50.03,0.18,8.85,100,60,358
22.29,COMP,11698,16.42,16.45,1,49.9,0.6,30.04,100,58,344
23.3,COMP,12471,17.01,16.45,1,49.81,0.31,15.39,100,59,356
24.31,COMP,13226,16.59,16.45,1,50.01,0.5,24.95,100,56,347
25.31,COMP,14000,17.1,16.45,1,50.04,-0.01,-0.65,100,59,358
26.32,COMP,14766,17.37,16.46,1,49.57,2.02,100.33,100,61,364
27.33,COMP,15536,18.13,16.46,1,49.99,0.14,7.2,100,63,380
28.34,COMP,16310,17.19,16.46,1,49.96,0.19,9.24,100,60,360
29.34,COMP,17062,19.4,16.46,1,47.99,9.19,440.84,100,90,406
30.35,COMP,18032,16.67,16.46,1,49.99,0.28,13.75,100,58,349
31.37,COMP,18794,16.26,16.46,1,49.78,0.51,25.59,100,59,341
32.39,COMP,19576,17.93,16.46,1,49.96,0.5,24.98,100,63,376
33.4,COMP,20331,20.35,16.46,1,49.01,6.15,301.38,100,75,426
34.41,COMP,21099,17.28,16.46,1,49.96,0.35,17.58,100,60,362
35.41,COMP,21870,16.42,16.46,1,49.9,0.19,9.23,100,57,344
36.42,COMP,22652,16.5,16.46,1,49.9,0.95,47.31,100,58,346
37.42,COMP,23424,17.46,16.46,1,49.02,4.79,234.62,100,76,366
38.43,COMP,24172,17.28,16.46,1,49.74,1.78,88.49,100,64,362
39.44,COMP,24922,17.28,16.46,1,49.9,0.4,20.06,100,61,362
40.45,COMP,25670,18.43,16.46,1,49.55,2.41,119.37,100,66,386
41.45,COMP,26421,16.75,16.46,1,49.87,0.32,15.76,100,59,351
42.49,COMP,27169,19.29,16.47,1,49.62,2.03,100.83,100,65,404
43.49,COMP,27916,17.46,16.47,1,50.03,0.79,39.62,100,61,366
44.51,COMP,28664,17.46,16.47,1,49.87,0.43,21.64,100,61,366
45.51,COMP,29408,16.18,16.47,1,49.71,0.96,47.72,100,60,339
46.52,COMP,30154,16.5,16.47,1,49.83,0.61,30.4,100,58,346
47.53,COMP,30905,17.01,16.47,1,49.99,0.37,18.6,100,59,356
48.53,COMP,31653,19.98,16.47,1,49.78,1.65,82.28,100,69,419
49.54,COMP,32398,17.74,16.47,1,49.96,0.66,32.87,100,61,372
50.55,COMP,33147,17.74,16.47,1,50.25,-0.7,-35.28,100,61,372
51.56,COMP,33888,17.1,16.47,1,49.64,2.58,128.07,100,67,358
52.56,COMP,34629,17.28,16.47,1,49.9,0.43,21.36,100,60,362
53.57,COMP,35367,16.1,16.47,1,49.76,1.0,49.96,100,60,337
54.58,COMP,36111,17.37,16.48,1,50.17,-0.68,-34.16,100,59,364
55.58,COMP,36848,16.42,16.48,1,49.99,1.11,55.44,100,61,344
56.58,COMP,37587,16.18,16.48,1,49.83,0.84,41.86,100,59,339
57.59,COMP,38329,16.59,16.48,1,49.62,1.76,87.18,100,64,347
58.6,COMP,39069,16.42,16.48,1,49.96,0.46,22.73,100,57,344
59.61,COMP,39811,16.42,16.48,1,49.74,0.84,41.83,100,60,344
60.62,COMP,40553,16.5,16.48,1,49.99,0.43,21.6,100,58,346
61.63,COMP,41292,16.42,16.48,1,49.71,0.89,44.04,100,60,344
62.63,COMP,42036,17.01,16.48,1,49.92,0.47,23.41,100,59,356
63.63,COMP,42775,17.55,16.48,1,49.81,1.07,53.05,100,61,368
64.64,COMP,43517,17.65,16.49,1,49.97,0.31,15.34,100,62,370
65.65,COMP,44255,16.26,16.49,1,49.69,1.51,75.03,100,63,341
66.66,COMP,45008,17.55,16.49,1,50.03,-0.03,-1.3,100,61,368
67.67,COMP,45755,17.93,16.49,1,49.45,3.39,167.42,100,68,376
68.67,COMP,46502,16.67,16.49,1,49.99,0.18,9.1,100,58,349
69.68,COMP,47253,17.1,16.49,1,49.85,0.56,27.87,100,59,358
70.68,COMP,48000,17.28,16.49,1,49.81,0.65,32.23,100,60,362
71.7,COMP,48724,16.67,16.49,1,49.9,0.84,41.92,100,59,349
72.71,COMP,49453,16.67,16.49,1,49.83,0.88,43.75,100,60,349
73.74,COMP,50186,16.75,16.49,1,49.78,0.84,41.86,100,60,351
74.77,COMP,50919,16.76,16.49,1,49.88,0.85,42.15,100,60,351
75.8,COMP,51652,16.84,16.5,1,49.83,0.82,40.61,100,60,353
76.8,COMP,52390,16.84,16.5,1,49.85,0.82,41.03,100,60,353
77.83,COMP,53128,16.84,16.5,1,49.88,0.83,41.55,100,60,353
78.86,COMP,53866,16.84,16.5,1,49.92,0.82,40.68,100,60,353
79.89,COMP,54604,16.92,16.5,1,49.87,0.82,40.89,100,60,355
80.91,COMP,55342,16.84,16.5,1,49.8,0.84,41.58,100,60,353
81.92,COMP,56081,16.92,16.5,1,49.78,0.83,41.12,100,60,355
82.93,COMP,56819,16.92,16.5,1,49.81,0.86,42.89,100,60,355
83.96,COMP,57742,16.92,16.5,1,49.83,0.84,42.06,100,60,355
84.96,COMP,58460,16.1,16.5,1,49.81,0.9,45.08,100,57,337
85.99,COMP,59173,16.5,16.51,1,49.83,1.04,51.73,100,59,346
87.03,COMP,59900,16.76,16.51,1,49.76,0.91,45.18,100,60,351
88.03,COMP,60635,16.93,16.51,1,49.88,0.81,40.31,100,60,355
89.04,COMP,61361,16.18,16.51,1,49.99,0.68,34.09,100,58,339
90.04,COMP,62071,16.5,16.51,1,49.69,1.02,50.73,100,59,346
91.07,COMP,62803,16.92,16.51,1,49.83,1.0,49.58,100,60,355
92.09,COMP,63523,16.26,16.51,1,49.87,0.43,21.54,100,57,341
93.11,COMP,64244,16.42,16.51,1,49.88,0.84,42.1,100,59,344
94.13,COMP,64963,16.5,16.52,1,49.9,0.91,45.21,100,59,346
95.15,COMP,65681,16.42,16.52,1,49.87,0.78,38.7,100,59,344
96.17,COMP,66401,16.5,16.52,1,49.81,0.82,41.0,100,59,346
97.2,COMP,67120,16.5,16.52,1,49.8,0.84,41.73,100,59,346
98.22,COMP,67839,16.42,16.52,1,49.74,0.85,42.33,100,59,344
99.24,COMP,68558,16.42,16.52,1,49.81,0.9,44.58,100,59,344
100.25,COMP,69277,16.42,16.52,1,49.88,0.85,42.25,100,59,344
101.25,COMP,69996,16.5,16.52,1,49.85,0.83,41.32,100,59,346
102.28,COMP,70715,16.5,16.53,1,49.92,0.78,39.04,100,59,346
103.3,COMP,71434,16.42,16.53,1,49.9,0.79,39.32,100,59,344
104.3,COMP,72153,16.5,16.53,1,49.85,0.86,42.97,100,59,346
105.3,COMP,72872,16.42,16.53,1,49.78,0.83,41.52,100,59,344
106.31,COMP,73592,16.5,16.53,1,49.74,0.8,39.75,100,59,346
107.31,COMP,74311,16.42,16.53,1,49.74,0.85,42.33,100,59,344
108.31,COMP,75030,16.42,16.53,1,49.96,0.8,39.76,100,59,344
109.34,COMP,75749,16.5,16.53,1,49.83,0.84,42.06,100,59,346
110.37,COMP,76468,16.5,16.54,1,49.78,0.85,42.41,100,59,346
111.4,COMP,77367,16.5,16.54,1,49.96,0.79,39.51,100,59,346
112.4,COMP,78086,16.42,16.54,1,49.88,0.86,42.85,100,59,344
113.43,COMP,78805,16.42,16.54,1,49.87,0.85,42.49,100,59,344
114.43,COMP,79524,16.5,16.54,1,49.8,0.82,40.93,100,59,346
115.46,COMP,80243,16.5,16.54,1,49.74,0.79,39.3,100,59,346
116.47,COMP,80963,16.42,16.54,1,50.01,0.81,40.61,100,59,344
117.47,COMP,81682,16.5,16.54,1,49.8,0.88,43.77,100,59,346
118.47,COMP,82401,16.42,16.54,1,49.78,0.86,42.86,100,59,344
119.47,COMP,83120,16.42,16.54,1,49.83,0.84,41.76,100,59,344
120.48,COMP,83839,16.42,16.55,1,49.8,0.86,42.93,100,59,344
121.48,COMP,84559,16.42,16.55,1,49.81,0.88,43.64,100,59,344
