Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.01,DRIVE,235842,0.0,15.06,0,50.61,0.0,0.0,0,0,0
2.02,DRIVE,235843,0.0,15.13,0,50.62,0.0,0.0,0,0,0
3.02,DRIVE,235843,0.0,15.19,0,50.61,0.0,0.0,0,0,0
4.03,DRIVE,235843,0.0,15.26,0,50.62,0.0,0.0,0,0,0
5.03,DRIVE,235843,0.0,15.32,0,50.62,0.0,0.0,0,0,0
6.04,DRIVE,235843,0.0,15.39,0,50.61,0.0,0.0,0,0,0
7.05,DRIVE,235843,0.0,15.45,0,50.62,0.0,0.0,0,0,0
8.06,DRIVE,235843,0.0,15.52,0,50.66,0.0,0.0,0,0,0
9.08,DRIVE,235843,0.0,15.59,0,50.59,0.0,0.0,0,0,0
10.08,DRIVE,235843,0.0,15.66,0,50.68,0.0,0.0,0,0,0
11.09,DRIVE,235845,0.0,15.73,0,50.66,0.0,0.0,0,0,0
12.1,DRIVE,235846,0.0,15.8,0,50.68,0.0,0.0,0,0,0
13.1,DRIVE,235862,0.38,15.86,0,49.71,1.79,89.13,54,9,7
14.11,DRIVE,235933,2.44,15.93,0,49.25,9.13,449.61,52,25,51
15.12,DRIVE,236097,4.53,15.99,0,49.2,6.89,338.93,37,27,95
16.13,DRIVE,236335,6.19,16.04,0,49.04,6.71,329.21,37,33,129
17.14,DRIVE,236638,7.63,16.08,0,48.48,8.13,394.07,44,39,159
18.14,DRIVE,236997,8.75,16.12,0,48.9,9.0,440.25,51,44,183
19.15,DRIVE,237404,9.73,16.16,0,49.67,4.85,241.07,26,42,204
20.16,DRIVE,237836,9.96,16.2,0,50.54,0.0,0.0,0,0,208
21.17,DRIVE,238259,9.32,16.23,0,50.57,0.0,0.0,0,0,195
22.18,DRIVE,238620,7.41,16.27,0,50.55,0.0,0.0,0,0,155
23.19,DRIVE,238891,5.47,16.33,0,50.57,0.0,0.0,0,0,114
24.2,DRIVE,239074,3.36,16.38,0,50.57,0.0,0.0,0,0,70
25.2,DRIVE,239184,1.96,16.45,0,50.59,0.0,0.0,0,0,41
26.21,DRIVE,239226,0.57,16.53,0,50.59,0.0,0.0,0,0,12
27.22,DRIVE,239226,0.0,16.6,0,50.59,0.0,0.0,0,0,0
28.22,DRIVE,239226,0.0,16.68,0,50.57,0.0,0.0,0,0,0
29.23,DRIVE,239226,0.0,16.76,0,50.59,0.0,0.0,0,0,0
30.23,DRIVE,239226,0.0,16.84,0,50.61,0.0,0.0,0,0,0
31.23,DRIVE,239227,0.0,16.92,0,50.61,0.0,0.0,0,0,0
