Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.04,RACE,301116,0.0,15.06,0,54.47,0.0,0.0,0,0,0
2.07,RACE,301156,2.16,15.13,0,54.4,0.06,3.43,12,6,45
3.1,RACE,301243,2.07,15.19,0,54.41,0.05,2.88,12,6,43
4.14,RACE,301344,2.72,15.24,0,54.36,0.12,6.63,16,9,57
5.18,RACE,301454,2.36,15.3,0,54.45,0.1,5.66,16,8,49
6.21,RACE,301573,2.02,15.36,0,54.31,0.09,5.05,16,6,42
7.24,RACE,301674,2.95,15.42,0,54.38,0.22,11.8,24,10,61
8.29,RACE,301872,5.92,15.47,0,54.04,0.44,23.51,25,21,124
9.32,RACE,302205,9.14,15.51,0,54.22,0.67,36.43,25,32,191
10.34,RACE,302676,12.38,15.54,0,54.0,0.88,47.63,25,44,259
11.35,RACE,303286,15.36,15.56,0,54.18,0.99,53.37,22,54,322
12.36,RACE,304001,17.46,15.56,0,54.13,1.08,58.35,22,62,366
13.39,RACE,304810,19.63,15.56,0,54.22,1.26,68.31,22,70,411
14.42,RACE,305716,21.82,15.55,0,54.16,1.38,74.74,22,78,457
15.46,RACE,306723,24.21,15.54,0,54.22,1.53,82.95,22,86,507
16.49,RACE,308130,27.42,15.48,0,54.0,1.74,93.69,22,96,575
17.52,RACE,309334,27.64,15.45,0,54.25,1.37,74.54,26,100,579
18.56,RACE,310514,25.13,15.42,0,54.45,0.0,0.0,0,0,527
19.58,RACE,311463,18.85,15.4,0,54.45,0.0,0.0,0,0,395
