Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.01,RACE,246492,8.75,15.06,0,53.55,3.17,169.65,999,38,183
2.04,RACE,247217,14.42,15.06,0,54.59,0.05,2.62,999,49,302
3.08,RACE,247872,15.36,15.07,0,54.0,1.84,99.14,999,56,322
4.11,RACE,248547,15.8,15.08,0,54.58,0.03,1.58,999,53,331
5.11,RACE,249205,14.18,15.09,0,54.34,0.96,51.95,999,50,297
6.14,RACE,249870,16.42,15.1,0,54.22,1.16,63.05,999,58,344
7.18,RACE,250541,14.74,15.11,0,54.49,-0.01,-0.33,999,50,309
8.22,RACE,251371,16.34,15.11,0,54.4,0.11,5.93,999,56,342
9.26,RACE,252035,14.24,15.12,0,54.43,0.21,11.43,999,49,298
10.3,RACE,252692,15.87,15.13,0,54.02,1.76,94.8,999,58,332
11.33,RACE,253367,15.43,15.14,0,54.58,-0.01,-0.71,999,52,323
12.35,RACE,254386,27.19,15.12,0,54.45,-0.05,-2.83,999,96,570
13.37,RACE,255412,19.98,15.1,0,54.54,0.01,0.6,999,68,419
14.4,RACE,256129,15.29,15.1,0,53.95,1.88,101.53,999,56,320
15.43,RACE,256804,15.95,15.11,0,54.34,0.03,1.74,999,54,334
16.46,RACE,257463,14.06,15.13,0,54.31,0.64,34.59,999,49,294
17.47,RACE,258298,15.29,15.12,0,54.54,0.04,2.13,999,51,320
18.51,RACE,258952,14.61,15.13,0,54.11,1.59,85.76,999,53,306
19.56,RACE,259625,16.26,15.14,0,54.43,0.12,6.42,999,55,341
20.58,RACE,260287,14.36,15.15,0,54.38,0.19,10.17,999,49,301
21.59,RACE,260949,15.72,15.16,0,54.07,1.86,100.74,999,57,329
22.62,RACE,261628,15.65,15.17,0,54.59,0.03,1.58,999,53,328
23.66,RACE,262287,14.18,15.19,0,54.27,1.06,57.69,999,51,297
24.69,RACE,262956,16.03,15.2,0,53.93,1.75,94.27,999,58,336
25.72,RACE,263645,17.55,15.21,0,54.09,1.23,66.42,999,61,368
26.75,RACE,264330,17.01,15.22,0,53.86,2.0,107.44,999,61,356
27.79,RACE,265175,14.3,15.21,0,53.32,4.93,262.58,999,57,299
28.8,RACE,265855,13.6,15.22,0,53.57,2.18,117.05,999,53,285
29.84,RACE,266533,15.01,15.23,0,54.09,1.75,94.71,999,54,314
30.85,RACE,267194,16.75,15.24,0,53.48,4.17,222.84,999,64,351
31.86,RACE,267856,15.22,15.25,0,53.14,5.31,282.15,999,60,319
32.86,RACE,268535,14.49,15.26,0,53.89,2.24,120.88,999,52,303
33.87,RACE,269204,17.19,15.27,0,53.53,3.89,208.08,999,64,360
34.87,RACE,269847,12.29,15.29,0,54.38,0.0,0.0,0,0,257
35.89,RACE,270273,7.57,15.32,0,54.4,0.0,0.0,0,0,158
36.91,RACE,270504,3.56,15.38,0,54.43,0.0,0.0,0,0,74
37.93,RACE,270568,1.4,15.45,0,54.45,0.0,0.0,0,0,29
38.95,RACE,270568,0.0,15.53,0,54.41,0.0,0.0,0,0,0
39.98,RACE,270568,0.0,15.6,0,54.43,0.0,0.0,0,0,0
41.0,RACE,270568,0.0,15.68,0,54.43,0.0,0.0,0,0,0
42.02,RACE,270568,0.0,15.77,0,54.47,0.0,0.0,0,0,0
43.04,RACE,270568,0.0,15.85,0,54.45,0.0,0.0,0,0,0
44.06,RACE,270568,0.0,15.93,0,54.47,0.0,0.0,0,0,0
45.08,RACE,270568,0.0,16.01,0,54.45,0.0,0.0,0,0,0
46.12,RACE,270568,0.0,16.1,0,54.47,0.0,0.0,0,0,0
47.14,RACE,270568,0.0,16.18,0,54.49,0.0,0.0,0,0,0
