Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.04,RACE,313249,0.00,15.07,0,54.45,0.00,0.00,0,0,0
2.07,RACE,313249,0.00,15.13,0,54.45,0.00,0.00,0,0,0
3.11,RACE,313249,0.00,15.20,0,54.52,0.00,0.00,0,0,0
4.13,RACE,313284,2.14,15.26,0,54.45,0.00,0.22,3,1,44
5.17,RACE,313352,0.98,15.32,0,53.98,0.63,34.12,6,9,20
6.20,RACE,313461,1.58,15.38,0,54.43,0.02,1.31,7,3,33
7.20,RACE,313543,2.64,15.44,0,54.45,0.06,3.48,7,8,55
8.24,RACE,313628,2.42,15.50,0,54.43,0.04,1.91,7,6,50
9.27,RACE,313706,1.61,15.56,0,54.47,0.02,0.98,7,3,33
10.29,RACE,313791,2.74,15.63,0,54.45,0.05,2.50,7,8,57
11.32,RACE,313876,2.01,15.69,0,54.45,0.03,1.47,7,4,42
12.33,RACE,313954,1.25,15.75,0,54.23,0.45,24.62,7,9,26
13.36,RACE,314041,2.41,15.81,0,54.40,0.04,2.28,7,6,50
14.38,RACE,314122,1.60,15.88,0,54.47,0.00,0.00,0,0,33
