Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
2.66,DRIVE,4351,0.00,15.16,0,54.74,0.00,0.00,0,0,0
3.67,DRIVE,4351,0.00,15.22,0,54.74,0.00,0.00,0,0,0
4.67,DRIVE,4362,0.46,15.28,0,53.53,2.08,111.29,4,9,9
5.68,DRIVE,4409,1.15,15.35,0,54.72,0.00,0.00,0,0,24
6.69,DRIVE,4465,1.45,15.41,0,54.59,0.15,8.19,15,6,30
7.69,DRIVE,4532,1.65,15.47,0,54.02,1.00,53.80,64,8,34
8.70,DRIVE,4617,2.13,15.53,0,54.16,1.29,69.76,67,10,44
9.71,DRIVE,4723,2.64,15.59,0,53.87,1.52,82.00,67,12,55
10.73,DRIVE,4851,3.15,15.65,0,54.00,1.81,97.79,67,15,66
11.74,DRIVE,5000,3.62,15.70,0,54.07,2.10,113.55,70,17,75
12.75,DRIVE,5172,4.21,15.76,0,54.29,2.24,121.77,67,18,88
13.76,DRIVE,5368,4.74,15.81,0,54.00,2.52,135.97,67,21,99
14.78,DRIVE,5586,5.21,15.86,0,54.02,2.71,146.44,67,23,109
15.79,DRIVE,5818,5.39,15.91,0,53.73,2.84,152.75,68,23,112
16.79,DRIVE,6044,4.98,15.96,0,53.96,2.78,150.18,71,22,104
17.80,DRIVE,6249,4.66,16.02,0,53.93,2.87,154.50,74,21,97
18.81,DRIVE,6452,4.70,16.07,0,53.68,2.92,156.52,76,21,98
19.82,DRIVE,6649,4.45,16.13,0,53.73,3.02,162.21,82,21,93
20.82,DRIVE,6826,3.73,16.19,0,53.50,3.54,189.43,999,20,78
21.84,DRIVE,6977,3.19,16.25,0,53.50,3.43,183.71,999,17,66
22.85,DRIVE,7063,1.22,16.32,0,54.59,0.00,0.00,0,0,25
23.86,DRIVE,7070,0.00,16.39,0,54.59,0.00,0.00,0,0,0
24.86,DRIVE,7070,0.00,16.47,0,54.61,0.00,0.00,0,0,0
25.87,DRIVE,7071,0.00,16.55,0,54.63,0.00,0.00,0,0,0
26.88,DRIVE,7078,0.00,16.62,0,53.44,2.40,128.10,5,9,0
27.89,DRIVE,7108,0.70,16.70,0,53.50,2.01,107.58,17,9,14
28.90,DRIVE,7149,0.92,16.78,0,54.63,0.00,0.00,0,0,19
29.92,DRIVE,7197,1.32,16.85,0,53.93,1.32,71.40,63,9,27
30.94,DRIVE,7269,1.77,16.93,0,54.20,0.99,53.82,64,8,37
31.96,DRIVE,7357,2.19,17.00,0,53.96,1.34,72.26,66,11,45
32.97,DRIVE,7463,2.57,17.08,0,54.00,1.51,81.65,66,13,53
33.99,DRIVE,7583,2.93,17.15,0,53.78,1.74,93.75,68,14,61
35.01,DRIVE,7722,3.43,17.22,0,54.09,2.60,140.63,86,16,71
36.02,DRIVE,7891,4.33,17.29,0,53.30,4.50,239.57,999,23,90
37.04,DRIVE,8104,5.34,17.36,0,53.50,4.63,247.79,98,26,112
38.06,DRIVE,8354,6.10,17.42,0,53.53,4.23,226.28,84,28,127
39.08,DRIVE,8633,6.65,17.48,0,53.71,3.77,202.33,73,29,139
40.10,DRIVE,8935,7.13,17.54,0,53.93,3.48,187.45,64,30,149
41.11,DRIVE,9253,7.47,17.60,0,54.00,2.43,131.17,45,30,156
42.13,DRIVE,9583,7.68,17.65,0,54.09,2.06,111.21,37,29,161
43.15,DRIVE,9917,7.66,17.71,0,54.58,2.24,122.09,43,30,160
44.17,DRIVE,10342,8.01,17.76,0,53.80,3.73,200.79,64,33,168
45.18,DRIVE,10699,8.36,17.82,0,53.69,4.36,234.05,70,35,175
46.22,DRIVE,11067,8.48,17.87,0,53.75,4.18,224.83,68,35,177
47.24,DRIVE,11443,8.80,17.93,0,53.75,4.18,224.72,64,36,184
48.26,DRIVE,11828,8.78,17.99,0,53.80,3.75,201.81,60,36,184
49.29,DRIVE,12212,8.82,18.04,0,54.04,2.07,111.91,34,33,185
50.30,DRIVE,12587,8.27,18.10,0,54.45,0.00,0.00,0,0,173
51.32,DRIVE,12935,7.73,18.16,0,54.47,0.00,0.00,0,0,162
52.34,DRIVE,13263,7.37,18.23,0,54.49,0.00,0.00,0,0,154
53.36,DRIVE,13574,7.10,18.29,0,53.93,2.56,138.00,53,30,149
54.38,DRIVE,13886,7.23,18.36,0,54.04,2.08,112.45,40,28,151
55.40,DRIVE,14189,6.67,18.43,0,54.47,0.00,0.00,0,0,140
56.42,DRIVE,14453,5.34,18.50,0,54.49,0.00,0.00,0,0,112
57.44,DRIVE,14651,2.40,18.58,0,54.43,0.00,0.00,0,0,50
58.45,DRIVE,14702,0.73,18.68,0,54.50,0.00,0.00,0,0,15
59.49,DRIVE,14703,0.00,18.79,0,54.52,0.00,0.00,0,0,0
60.50,DRIVE,14703,0.00,18.90,0,54.52,0.00,0.00,0,0,0
61.52,DRIVE,14703,0.00,19.00,0,54.50,0.00,0.00,0,0,0
62.54,DRIVE,14703,0.00,19.11,0,54.50,0.00,0.00,0,0,0
63.56,DRIVE,14703,0.00,19.22,0,54.58,0.00,0.00,0,0,0
64.57,DRIVE,14703,0.00,19.33,0,54.54,0.00,0.00,0,0,0
65.59,DRIVE,14703,0.00,19.45,0,54.54,0.00,0.00,0,0,0
66.61,DRIVE,14703,0.00,19.56,0,54.52,0.00,0.00,0,0,0
67.63,DRIVE,14707,0.00,19.68,0,53.06,2.76,146.56,11,9,0
68.66,DRIVE,14739,0.90,19.79,0,53.46,2.04,109.00,40,9,18
69.68,DRIVE,14798,1.50,19.90,0,53.95,0.96,51.73,63,8,31
70.71,DRIVE,14883,1.65,20.01,0,53.80,1.13,60.53,67,9,34
71.75,DRIVE,14959,1.80,20.13,0,53.73,1.49,79.84,80,10,37
72.78,DRIVE,15049,2.28,20.24,0,53.78,1.67,89.82,74,12,47
73.80,DRIVE,15143,1.98,20.36,0,54.20,0.37,20.00,25,8,41
74.83,DRIVE,15222,1.68,20.47,0,54.52,0.00,0.00,0,0,35
