Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.02,RACE,21361,0.00,16.88,0,49.85,0.00,0.00,0,0,0
2.03,RACE,21361,0.00,16.89,0,49.81,0.00,0.00,0,0,0
3.04,RACE,21361,0.00,16.90,0,49.85,0.00,0.00,0,0,0
4.05,RACE,21361,0.00,16.90,0,49.83,0.00,0.00,0,0,0
5.06,RACE,21361,0.00,16.91,0,49.80,0.00,0.00,0,0,0
6.07,RACE,21365,0.00,16.92,0,48.42,3.31,160.27,30,20,0
7.10,RACE,22386,27.30,16.92,0,49.50,1.57,77.72,37,100,572
8.12,RACE,23828,23.60,16.91,0,49.83,0.01,0.50,4,3,495
9.14,RACE,24894,27.10,16.91,0,49.43,1.67,82.55,15,100,568
10.15,RACE,26084,27.10,16.91,0,49.46,1.59,78.64,20,100,568
11.18,RACE,27274,27.30,16.90,0,49.57,1.52,75.35,27,100,572
12.21,RACE,28464,27.30,16.90,0,49.44,1.52,75.15,61,100,572
13.23,RACE,29612,23.40,16.90,1,49.74,0.30,14.92,100,82,490
14.26,RACE,30489,16.70,16.90,1,49.48,1.31,64.82,100,63,350
15.27,RACE,31246,17.30,16.90,1,49.78,0.17,8.46,100,60,362
16.30,RACE,32001,18.10,16.90,1,48.99,4.49,219.97,100,66,379
17.30,RACE,32760,17.20,16.90,1,49.69,0.30,14.91,100,60,360
18.31,RACE,33517,16.80,16.90,1,49.69,0.42,20.87,100,59,352
19.32,RACE,34272,17.00,16.90,1,49.64,0.25,12.41,100,59,356
20.33,RACE,35028,17.20,16.90,1,48.69,5.14,250.27,100,69,360
21.34,RACE,35785,17.00,16.90,1,49.76,0.32,15.92,100,59,356
22.35,RACE,36537,17.10,16.90,1,49.23,6.02,296.36,100,72,358
23.36,RACE,37296,17.70,16.90,1,49.88,-0.19,-9.48,100,60,371
24.37,RACE,38051,16.60,16.90,1,49.55,0.90,44.59,100,61,348
25.38,RACE,38808,17.00,16.90,1,49.62,0.32,15.88,100,59,356
26.38,RACE,39564,17.30,16.90,1,49.69,0.29,14.41,100,61,362
27.39,RACE,40319,18.00,16.91,1,49.67,1.21,60.10,100,61,377
28.40,RACE,41075,17.00,16.91,1,49.76,0.25,12.44,100,59,356
29.40,RACE,41832,16.80,16.91,1,48.97,1.56,76.39,100,64,352
30.41,RACE,42590,17.30,16.91,1,49.67,0.28,13.91,100,60,362
31.42,RACE,43349,17.00,16.91,1,49.64,0.37,18.37,100,59,356
32.43,RACE,44106,16.80,16.91,1,49.69,0.33,16.40,100,59,352
33.44,RACE,44859,16.70,16.91,1,49.43,0.96,47.45,100,62,350
34.45,RACE,45617,17.40,16.91,1,48.79,5.30,258.59,100,69,365
35.46,RACE,46375,17.10,16.91,1,49.67,0.38,18.87,100,60,358
36.47,RACE,47127,16.90,16.91,1,49.71,0.31,15.41,100,59,354
37.47,RACE,47883,17.40,16.91,1,49.57,0.29,14.38,100,60,365
38.48,RACE,48638,17.50,16.91,1,48.64,5.82,283.08,100,70,367
39.50,RACE,49396,17.20,16.91,1,49.69,0.29,14.41,100,60,360
40.50,RACE,50153,16.80,16.91,1,49.67,0.36,17.88,100,59,352
41.52,RACE,50909,17.60,16.92,1,49.88,-0.09,-4.49,100,60,369
42.54,RACE,51664,16.70,16.92,1,49.48,0.79,39.09,100,61,350
43.55,RACE,52421,17.20,16.92,1,49.81,0.26,12.95,100,60,360
44.55,RACE,53182,17.60,16.92,1,49.60,0.07,3.47,100,61,369
45.56,RACE,53939,17.10,16.92,1,49.76,0.31,15.43,100,59,358
46.56,RACE,54695,17.40,16.92,1,49.64,0.06,2.98,100,60,365
47.57,RACE,55448,17.40,16.92,1,49.73,-0.03,-1.49,100,60,365
48.58,RACE,56205,17.10,16.92,1,49.74,0.22,10.94,100,60,358
49.58,RACE,56961,17.00,16.92,1,49.36,3.96,195.47,100,69,356
50.59,RACE,57719,17.60,16.92,1,49.76,-0.03,-1.49,100,61,369
51.59,RACE,58476,17.00,16.92,1,49.66,0.27,13.41,100,59,356
52.59,RACE,59232,18.00,16.92,1,49.13,4.57,224.52,100,66,377
53.60,RACE,59989,17.00,16.92,1,49.71,0.28,13.92,100,59,356
54.61,RACE,60745,17.80,16.92,1,49.71,-0.00,-0.00,100,61,373
55.62,RACE,61503,17.00,16.93,1,49.69,0.26,12.92,100,59,356
56.64,RACE,62257,16.80,16.93,1,48.44,3.74,181.17,100,69,352
57.65,RACE,63015,17.20,16.93,1,49.87,-0.01,-0.50,100,59,360
58.66,RACE,63770,17.40,16.93,1,49.57,0.28,13.88,100,60,365
59.69,RACE,64959,26.70,16.92,0,49.67,0.00,0.00,0,0,560
60.72,RACE,65978,20.30,16.92,0,49.73,0.00,0.00,0,0,425
61.73,RACE,66741,14.80,16.92,0,49.73,0.00,0.00,0,0,310
62.75,RACE,67274,9.80,16.93,0,49.73,0.00,0.00,0,0,205
63.75,RACE,67599,5.50,16.93,0,49.76,0.00,0.00,0,0,115
64.76,RACE,67739,2.00,16.94,0,49.80,0.00,0.00,0,0,41
65.78,RACE,67746,0.00,16.95,0,49.73,0.00,0.00,0,0,0
66.79,RACE,67746,0.00,16.96,0,49.76,0.00,0.00,0,0,0
