Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.03,COMP,331,2.00,16.88,0,49.78,0.00,0.00,0,0,41
2.05,COMP,434,2.60,16.88,0,49.78,0.00,0.00,0,0,54
3.05,COMP,557,2.90,16.89,0,49.78,0.00,0.00,0,0,60
4.05,COMP,687,3.10,16.90,0,49.78,0.00,0.00,0,0,65
5.08,COMP,824,3.20,16.90,0,49.74,0.00,0.00,0,0,67
6.08,COMP,960,3.10,16.91,0,49.80,0.00,0.00,0,0,65
7.09,COMP,1088,2.90,16.92,0,49.78,0.00,0.00,0,0,60
8.09,COMP,1211,2.80,16.93,0,49.78,0.00,0.00,0,0,58
9.11,COMP,1334,2.80,16.93,0,49.78,0.00,0.00,0,0,58
10.13,COMP,1451,2.60,16.94,0,49.76,0.00,0.00,0,0,54
11.13,COMP,1557,2.30,16.95,0,49.76,0.00,0.00,0,0,48
12.13,COMP,1653,2.10,16.95,0,49.76,0.00,0.00,0,0,44
13.14,COMP,1741,2.00,16.96,0,49.78,0.00,0.00,0,0,41
14.14,COMP,1826,2.00,16.97,0,49.74,0.00,0.00,0,0,41
15.14,COMP,1921,2.20,16.98,0,49.76,0.00,0.00,0,0,46
16.17,COMP,2043,2.30,16.98,0,49.76,0.00,0.00,0,0,48
17.17,COMP,2137,2.10,16.99,0,49.76,0.00,0.00,0,0,44
18.17,COMP,2231,2.20,17.00,0,49.76,0.00,0.00,0,0,46
19.17,COMP,2330,2.30,17.01,0,49.76,0.00,0.00,0,0,48
20.17,COMP,2432,2.40,17.01,0,49.76,0.00,0.00,0,0,50
21.18,COMP,2531,2.20,17.02,0,49.76,0.00,0.00,0,0,46
22.19,COMP,2627,2.20,17.03,0,49.76,0.00,0.00,0,0,46
23.19,COMP,2712,1.90,17.04,0,49.76,0.00,0.00,0,0,39
24.19,COMP,2799,2.00,17.04,0,49.76,0.00,0.00,0,0,41
25.19,COMP,2894,2.20,17.05,0,49.74,0.00,0.00,0,0,46
26.20,COMP,2992,2.30,17.06,0,49.80,0.00,0.00,0,0,48
27.20,COMP,3096,2.40,17.07,0,49.78,0.00,0.00,0,0,50
28.20,COMP,3203,2.50,17.07,0,49.78,0.00,0.00,0,0,52
29.24,COMP,3309,2.30,17.08,0,49.74,0.00,0.00,0,0,48
30.27,COMP,3404,2.10,17.09,0,49.78,0.00,0.00,0,0,44
31.27,COMP,3491,1.90,17.10,0,49.74,0.00,0.00,0,0,39
32.29,COMP,3579,2.20,17.11,0,49.74,0.00,0.00,0,0,46
33.31,COMP,3680,2.40,17.11,0,49.74,0.00,0.00,0,0,50
34.31,COMP,3784,2.40,17.12,0,49.76,0.00,0.00,0,0,50
35.31,COMP,3886,2.20,17.13,0,49.76,0.00,0.00,0,0,46
36.32,COMP,3973,1.80,17.14,0,49.74,0.00,0.00,0,0,37
37.32,COMP,4028,1.00,17.14,0,49.76,0.00,0.00,0,0,20
38.33,COMP,4044,0.60,17.15,0,49.78,0.00,0.00,0,0,12
39.33,COMP,4044,0.00,17.16,0,49.74,0.00,0.00,0,0,0
40.34,COMP,4044,0.00,17.17,0,49.78,0.00,0.00,0,0,0
41.36,COMP,4044,0.00,17.18,0,49.74,0.00,0.00,0,0,0
42.38,COMP,4044,0.00,17.19,0,49.76,0.00,0.00,0,0,0
43.38,COMP,4044,0.00,17.20,0,49.76,0.00,0.00,0,0,0
44.39,COMP,4044,0.00,17.20,0,49.74,0.00,0.00,0,0,0
45.39,COMP,4044,0.00,17.21,0,49.81,0.00,0.00,0,0,0
