Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.06,DRIVE,278739,0.00,15.07,0,50.62,0.00,0.00,0,0,0
2.07,DRIVE,278739,0.00,15.13,0,50.57,0.00,0.00,0,0,0
3.07,DRIVE,278739,0.00,15.19,0,50.57,0.00,0.00,0,0,0
4.08,DRIVE,278739,0.00,15.26,0,50.55,0.00,0.00,0,0,0
5.09,DRIVE,278739,0.00,15.32,0,50.54,0.00,0.00,0,0,0
6.09,DRIVE,278739,0.00,15.39,0,50.55,0.00,0.00,0,0,0
7.10,DRIVE,278741,0.00,15.46,0,50.55,0.00,0.00,0,0,0
8.10,DRIVE,278765,0.79,15.52,0,49.73,1.49,73.84,34,9,16
9.11,DRIVE,278848,2.75,15.58,0,47.95,8.26,396.26,47,25,57
10.12,DRIVE,279024,4.76,15.64,0,49.76,2.67,133.01,11,21,99
11.13,DRIVE,279239,5.48,15.69,0,48.94,7.77,380.42,42,32,115
12.13,DRIVE,279507,6.44,15.73,0,50.45,0.00,0.00,0,0,135
13.13,DRIVE,279798,7.21,15.78,0,48.65,7.28,354.24,40,37,151
14.14,DRIVE,280138,8.19,15.82,0,50.45,0.00,0.00,0,0,171
15.14,DRIVE,280590,8.42,15.85,0,50.43,0.00,0.00,0,0,176
16.15,DRIVE,280954,8.40,15.89,0,50.45,0.00,0.00,0,0,176
17.16,DRIVE,281302,7.44,15.93,0,50.43,0.00,0.00,0,0,156
18.17,DRIVE,281576,5.43,15.98,0,50.47,0.00,0.00,0,0,113
19.18,DRIVE,281805,5.07,16.03,0,50.47,0.00,0.00,0,0,106
20.19,DRIVE,281992,3.52,16.08,0,50.48,0.00,0.00,0,0,73
21.20,DRIVE,282099,1.48,16.15,0,50.47,0.00,0.00,0,0,30
22.21,DRIVE,282128,1.02,16.22,0,50.47,0.00,0.00,0,0,21
23.22,DRIVE,282128,0.00,16.30,0,50.48,0.00,0.00,0,0,0
24.23,DRIVE,282128,0.00,16.37,0,50.48,0.00,0.00,0,0,0
25.23,DRIVE,282128,0.00,16.45,0,50.48,0.00,0.00,0,0,0
26.23,DRIVE,282128,0.00,16.53,0,50.54,0.00,0.00,0,0,0
27.23,DRIVE,282128,0.00,16.60,0,50.48,0.00,0.00,0,0,0
28.23,DRIVE,282138,0.37,16.68,0,49.32,1.97,97.36,27,9,7
29.25,DRIVE,282198,2.11,16.76,0,47.86,9.05,433.15,50,23,44
