Time,State,Ticks,Speed,Target,SmartCruise,Volts,Amps,PowerInst,Throttle,Duty,RPM
1.02,DRIVE,180301,0.00,15.06,0,54.34,0.00,0.00,0,0,0
2.02,DRIVE,180301,0.00,15.13,0,54.32,0.00,0.00,0,0,0
3.03,DRIVE,180301,0.00,15.19,0,54.31,0.00,0.00,0,0,0
4.04,DRIVE,180301,0.00,15.26,0,54.23,0.00,0.00,0,0,0
5.07,DRIVE,180314,0.36,15.32,0,53.10,2.16,114.75,57,9,7
6.08,DRIVE,180368,1.50,15.38,0,53.53,1.25,66.86,76,9,31
7.10,DRIVE,180449,2.05,15.44,0,53.55,1.75,93.71,82,12,43
8.10,DRIVE,180553,2.63,15.50,0,53.51,2.34,125.22,91,14,55
9.12,DRIVE,180690,3.58,15.56,0,53.06,4.01,212.89,999,20,75
10.13,DRIVE,180871,4.58,15.61,0,53.01,4.68,248.19,999,24,95
11.15,DRIVE,181093,5.55,15.66,0,53.46,5.41,289.38,999,27,116
12.16,DRIVE,181355,6.47,15.71,0,52.67,6.19,326.17,999,31,135
13.18,DRIVE,181662,7.52,15.75,0,53.39,6.97,372.27,999,35,157
14.19,DRIVE,182009,8.38,15.79,0,52.45,7.64,400.68,999,38,175
15.21,DRIVE,182393,9.24,15.83,0,52.99,8.35,442.38,999,42,193
16.24,DRIVE,182814,10.08,15.87,0,52.72,9.06,477.50,999,47,211
17.25,DRIVE,183274,10.88,15.90,0,52.78,9.62,507.55,999,49,228
18.25,DRIVE,183765,11.64,15.92,0,52.79,9.19,485.02,999,51,244
19.26,DRIVE,184286,12.29,15.95,0,53.17,6.26,333.07,68,50,257
20.27,DRIVE,184949,12.02,15.96,0,54.07,0.00,0.00,0,0,252
21.28,DRIVE,185446,10.81,15.99,0,54.11,0.00,0.00,0,0,226
22.31,DRIVE,185874,8.82,16.03,0,54.13,0.00,0.00,0,0,185
23.32,DRIVE,186224,7.29,16.07,0,54.20,0.00,0.00,0,0,152
24.33,DRIVE,186489,5.10,16.12,0,54.18,0.00,0.00,0,0,106
25.34,DRIVE,186663,3.16,16.18,0,54.20,0.00,0.00,0,0,66
26.35,DRIVE,186762,1.86,16.25,0,54.20,0.00,0.00,0,0,39
27.36,DRIVE,186824,1.11,16.32,0,54.22,0.00,0.00,0,0,23
28.36,DRIVE,186856,0.67,16.40,0,54.18,0.00,0.00,0,0,14
29.40,DRIVE,186870,0.51,16.48,0,54.22,0.00,0.00,0,0,10
30.41,DRIVE,186879,0.25,16.55,0,54.20,0.00,0.00,0,0,5
31.42,DRIVE,186892,0.28,16.63,0,54.22,0.00,0.00,0,0,5
32.44,DRIVE,186896,0.00,16.71,0,54.22,0.00,0.00,0,0,0
33.45,DRIVE,186896,0.00,16.80,0,54.20,0.00,0.00,0,0,0
